NIT,GRUPO POBLACIONAL,RED TERRITORIAL,LOCALIDAD,DIA DE PEDIDO,FRECUENCIA
901219778,5,1,10,6,15
830126695,3,13,43,4,15
900059155,6,4,3,5,7
900687126,1,1,11,1,15
900099543,1,3,7,1,15
900976007,5,5,18,5,7
860011251,3,4,14,2,30
900307700,3,6,12,2,7
900951778,1,2,4,3,15
900951778,3,2,4,3,7
830074365,10,6,2,3,7
900999732,1,1,11,3,15
860029856,6,4,17,2,15
900607318,1,11,11,5,30
830063993,4,2,6,2,15
900610961,7,7,7,6,15
900978766,7,6,12,1,7
900243445,5,7,22,1,30
900917058,9,11,11,4,15
900917058,9,11,11,4,15
900811264,11,7,22,2,7
900811264,8,7,22,2,15
901297669,4,1,10,1,15
860006696,4,4,14,3,15
860026121,1,5,44,5,15
860007305,5,4,3,6,30
860007305,5,6,2,6,30
900906506,1,7,45,1,30
860035573,1,13,43,1,15
860524015,3,5,4,1,15
900964587,1,5,46,3,15
900964587,1,5,,3,15
900438389,3,6,12,1,15
901387820,1,5,4,1,15
830103858,9,12,19,2,15
900056894,11,1,10,4,15
901219816,1,6,2,4,15
830078800,5,6,12,4,15
830081458,2,2,18,1,7
900731054,3,9,19,2,15
860027139,11,9,19,2,7
860530249,1,8,1,4,30
900208409,1,4,3,4,15
860010525,6,5,,5,15
900641536,1,1,11,5,30
830081249,1,2,18,3,15
900128671,11,1,10,5,7
900191617,1,2,12,4,30
900118047,9,7,7,3,7
900118047,9,7,7,3,7
900118047,8,7,7,3,7
900340234,3,1,2,2,7
900682247,2,2,18,6,15
860010530,9,6,12,2,15
830111077,1,3,9,5,7
900051764,5,12,6,3,30
830056399,8,9,19,4,15
900636037,2,2,5,2,7
860010525,9,1,10,3,15
900992304,8,1,11,3,15
900103201,4,3,28,2,15
901265981,5,1,10,1,15
901490014,4,1,11,6,15
900544324,2,2,5,1,15
806007685,6,5,15,6,30
830012978,6,12,18,1,15
830140373,1,8,1,3,30
860015136,2,5,4,5,30
901048697,1,9,19,4,7
900058584,1,9,19,5,7
901048686,1,9,19,3,7
900200362,1,9,19,4,7
900840547,8,2,18,5,15
900547882,2,2,5,2,15
900986400,5,7,7,1,15
900183935,1,7,7,1,15
900257454,4,7,,4,7
901009430,5,7,22,4,15
900236348,4,1,10,4,30
860054247,1,6,12,2,15
830027812,1,9,19,5,7
901505695,1,1,11,5,15
860015685,10,4,17,6,30
860009268,1,7,7,3,30
900319801,6,1,10,1,15
900407913,1,6,27,4,15
830041755,7,8,1,2,15
900905461,8,7,7,2,15
901060407,2,9,19,2,15
830133409,1,9,19,1,15
900582569,4,7,47,1,15
900881804,4,1,10,4,15
900992304,8,1,11,3,7
800030443,11,6,2,1,30
830101249,8,4,3,4,15
860008867,3,4,17,4,15
860008867,3,4,19,4,15
830023101,1,11,11,6,30
860534527,2,5,4,4,7
860041695,2,5,4,4,30
901416526,4,7,22,1,15
860041990,1,2,18,2,30
900602992,5,13,39,4,30
830014024,1,5,4,5,30
800036578,6,8,1,3,15
830507011,8,8,1,3,30
900795846,3,8,1,4,7
860031289,11,8,1,1,7
860450530,2,9,19,1,7
830097467,1,5,4,5,7
900543226,2,5,4,4,30
860534372,3,7,7,1,7
901118473,11,7,22,1,7
901374687,1,10,11,1,30
860006696,3,4,14,4,15
900023826,6,5,4,2,15
900023826,6,5,4,2,15
860019014,3,5,4,2,15
901413263,11,7,7,1,15
900617561,2,2,5,5,15
901191699,1,6,2,2,30
860039669,1,12,4,3,15
800177785,9,1,10,5,15
800217115,2,5,4,4,30
860010457,6,9,,2,15
901054054,1,9,19,5,15
806008004,6,1,11,1,15
901048837,2,9,19,2,7
860061314,1,12,16,5,7
860010457,9,7,22,2,15
860010457,8,7,22,2,15
860006696,4,4,,4,15
901046124,2,9,16,4,7
